,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO TO,BL,PTS,POSS,PACE,OEFF,DEFF,REST DAYS,win_or_loss,points_per_poss,true_shooting_%,Off_reb_minus_TO,3-pointer,close,long-range,mid-range
248,52,94,16,30,6,7,10,37,47,36,17,8,10,5,126,94.9,94.9,132.8,104.3,1,1,1.327713382507903,0.6489493201483313,0,31,26,0,34
249,39,90,6,20,15,19,12,30,42,20,10,4,10,5,99,94.9,94.9,104.3,132.8,1,0,1.0432033719704952,0.5032533550223668,2,21,28,0,38
250,35,80,8,25,27,33,15,32,47,22,21,7,14,7,105,94.1,94.1,111.5,105.2,3IN4-B2B,1,1.1158342189160468,0.5554380025391452,1,25,18,0,29
251,36,86,6,27,21,28,11,29,40,17,22,9,14,9,99,94.1,94.1,105.2,111.5,3IN4-B2B,0,1.0520722635494155,0.5034580960130187,-3,26,19,1,35
252,44,97,7,23,12,16,17,32,49,19,23,3,16,2,107,98.6,98.6,108.5,119.6,3IN4-B2B,0,1.0851926977687627,0.5142252979623222,1,24,19,0,30
253,39,83,7,22,33,38,11,33,44,18,20,10,11,6,118,98.6,98.6,119.6,108.5,3IN4-B2B,1,1.1967545638945232,0.5916566385880465,0,22,23,0,30
254,36,83,11,29,13,20,10,29,39,21,20,14,19,4,96,99.4,99.4,96.6,117.7,3IN4-B2B,0,0.96579476861167,0.5228758169934641,-9,30,25,0,19
255,48,95,13,32,8,14,15,37,52,31,14,10,16,6,117,99.4,99.4,117.7,96.6,2,1,1.1770623742454727,0.5782918149466192,-1,32,25,0,21
256,38,91,4,13,15,18,13,36,49,19,22,3,12,7,95,97.1,97.1,97.8,109.2,3IN4-B2B,0,0.9783728115345006,0.48018600889607765,1,13,28,0,46
257,39,97,5,15,23,25,15,37,52,21,20,7,10,6,106,97.1,97.1,109.2,97.8,3IN4,1,1.0916580844490218,0.49074074074074076,5,15,36,0,40
258,41,76,5,18,19,24,2,33,35,21,19,6,12,11,106,93.7,93.7,113.1,106.7,3IN4-B2B,1,1.1312700106723586,0.6122920517560074,-10,19,12,0,40
259,34,89,15,47,17,21,16,30,46,22,19,6,14,4,100,93.7,93.7,106.7,113.1,2,0,1.0672358591248665,0.508957654723127,2,46,22,1,15
260,40,76,11,24,28,37,9,33,42,25,19,7,14,4,119,94.2,94.2,126.4,111.5,3IN4-B2B,1,1.2632696390658174,0.6447767663632423,-5,26,21,0,25
261,40,89,8,22,17,21,15,24,39,26,31,11,13,3,105,94.2,94.2,111.5,126.4,2,0,1.1146496815286624,0.5344055374592834,2,22,33,1,30
262,40,81,6,20,16,19,6,39,45,12,19,5,9,4,102,92.3,92.3,110.6,98.6,3IN4-B2B,1,1.1050920910075839,0.5707251566696508,-3,21,17,0,39
263,38,81,5,17,10,19,4,35,39,21,17,5,9,4,91,92.3,92.3,98.6,110.6,1,0,0.9859154929577465,0.5091763652641003,-5,17,34,0,27
264,35,78,6,30,20,21,3,29,32,20,26,8,13,4,96,93.3,93.3,102.9,113.6,3+,0,1.0289389067524117,0.5502063273727649,-10,31,22,0,22
265,36,68,7,18,27,36,5,30,35,20,20,9,14,5,106,93.3,93.3,113.6,102.9,1,1,1.1361200428724545,0.6321564885496183,-9,18,24,0,19
266,46,90,4,18,10,14,11,26,37,23,16,11,9,1,106,90.5,90.5,117.2,105.0,3IN4-B2B,1,1.1712707182320443,0.5511647254575708,2,17,26,2,42
267,36,84,9,25,14,19,14,28,42,15,14,6,16,4,95,90.5,90.5,105.0,117.2,1,0,1.049723756906077,0.5142919012559549,-2,26,21,0,27
268,40,84,16,37,26,30,6,49,55,22,19,6,17,10,122,107.8,107.8,113.2,96.5,2,1,1.1317254174397031,0.6275720164609053,-11,37,18,0,17
269,40,107,8,33,16,21,17,38,55,23,20,9,12,3,104,107.8,107.8,96.5,113.2,2,0,0.9647495361781077,0.4473503097040606,5,32,28,1,29
270,36,95,11,29,10,12,10,35,45,23,19,7,5,3,93,92.5,92.5,100.6,108.1,1,0,1.0054054054054054,0.4637016354208217,5,30,20,0,36
271,39,92,14,38,8,15,12,41,53,25,13,3,9,8,100,92.5,92.5,108.1,100.6,1,1,1.0810810810810811,0.5070993914807302,3,39,19,0,21
272,46,86,11,24,16,20,8,30,38,24,20,4,10,7,119,97.3,97.3,122.3,120.2,1,1,1.2230215827338131,0.6276371308016878,-2,23,31,1,28
273,47,92,7,25,16,26,12,30,42,22,19,4,11,6,117,97.3,97.3,120.2,122.3,1,0,1.2024665981500513,0.5655452436194895,1,25,36,0,25
274,33,71,8,24,25,30,5,34,39,16,31,6,17,5,99,96.6,96.6,102.5,129.4,3IN4-B2B,0,1.0248447204968945,0.5878859857482185,-12,25,19,0,25
275,42,80,13,27,28,42,9,35,44,28,19,10,10,4,125,96.6,96.6,129.4,102.5,B2B,1,1.2939958592132506,0.634646628757108,-1,28,25,0,24
276,46,90,8,24,20,26,8,30,38,27,29,10,13,3,120,105.3,105.3,114.0,126.3,B2B,0,1.1396011396011396,0.5914826498422713,-5,26,32,0,29
277,45,87,16,33,27,31,8,35,43,32,20,8,16,7,133,105.3,105.3,126.3,114.0,2,1,1.2630579297245965,0.6607710651828299,-8,33,14,0,30
278,36,91,11,29,22,29,16,43,59,11,25,4,18,6,105,102.1,102.1,102.9,109.7,3IN4-B2B,0,1.0284035259549462,0.5059753276792598,-2,29,28,2,25
279,39,99,8,29,26,32,14,30,44,21,23,8,8,8,112,102.1,102.1,109.7,102.9,1,1,1.0969637610186094,0.49522461973823845,6,32,26,0,32
280,27,84,5,25,10,13,9,43,52,12,17,3,16,5,69,94.6,94.6,72.9,93.0,3IN4-B2B,0,0.7293868921775899,0.3845296477931342,-7,26,22,0,33
281,35,90,8,25,10,10,7,42,49,22,14,9,9,9,88,94.6,94.6,93.0,72.9,3IN4,1,0.9302325581395349,0.4661016949152542,-2,25,27,0,30
282,34,78,9,25,16,18,14,37,51,18,16,5,17,5,93,87.8,87.8,106.0,87.7,3IN4,1,1.059225512528474,0.5412011173184358,-3,27,22,0,25
283,33,88,5,27,17,22,13,38,51,16,21,3,15,6,88,100.8,100.8,87.3,103.2,3IN4-B2B,0,0.873015873015873,0.4504504504504504,-2,27,27,0,34
284,43,92,5,16,13,16,4,43,47,25,14,4,10,9,104,100.8,100.8,103.2,87.3,3IN4,1,1.0317460317460319,0.5250403877221325,-6,18,30,0,42
285,38,95,12,41,17,20,11,33,44,19,27,9,12,0,105,101.3,101.3,103.7,104.7,3IN4,0,1.0365251727541955,0.5057803468208093,-1,43,31,0,17
